demo_id,image_name,label_count,device,pidnet_time_s,road_pixels,road_ratio,keep_pixels,keep_ratio,added_by_bbox_pixels,road_dilate,bbox_pad_px,bbox_pad_ratio
D002,Czech_000201.jpg,0,mps,0.678982,96622,0.268394,105192,0.2922,8570,15,8,0.02
D005,Czech_000194.jpg,0,mps,0.082872,115082,0.319672,124363,0.345453,9281,15,8,0.02
D008,India_000090.jpg,1,mps,0.413417,189144,0.364861,198924,0.383727,9780,15,8,0.02
D011,India_000118.jpg,0,mps,0.10242,171948,0.33169,182922,0.352859,10974,15,8,0.02
D014,Japan_000035.jpg,4,mps,0.06434,53305,0.148069,115081,0.319669,61776,15,8,0.02
D017,Japan_000076.jpg,5,mps,0.062082,234914,0.652539,260116,0.722544,25202,15,8,0.02
D020,Norway_000031.jpg,1,mps,4.149438,2176375,0.264721,2299946,0.279751,123571,15,8,0.02
D023,Norway_000059.jpg,0,mps,4.641597,1471315,0.178962,1569200,0.190868,97885,15,8,0.02
D026,United_States_000046.jpg,2,mps,0.374102,151037,0.368743,162928,0.397773,11891,15,8,0.02
D029,United_States_000083.jpg,4,mps,0.064002,150511,0.367458,162258,0.396138,11747,15,8,0.02
D032,China_MotorBike_000036.jpg,3,mps,0.441982,204533,0.780231,215827,0.823315,11294,15,8,0.02
D035,China_MotorBike_000160.jpg,3,mps,0.039768,197493,0.753376,209844,0.800491,12351,15,8,0.02
