tracker,class_name,duration_frames,num_hits,max_confidence
bytetrack,Pothole,1,1,0.7098
bytetrack,Pothole,1,1,0.2718
bytetrack,Longitudinal Crack,1,1,0.2805
bytetrack,Longitudinal Crack,1,1,0.5738
bytetrack,Transverse Crack,1,1,0.3251
bytetrack,Pothole,1,1,0.2862
bytetrack,Transverse Crack,1,1,0.2739
bytetrack,Longitudinal Crack,1,1,0.2666
bytetrack,Longitudinal Crack,1,1,0.3454
bytetrack,Longitudinal Crack,1,1,0.6029
bytetrack,Pothole,1,1,0.4681
bytetrack,Longitudinal Crack,1,1,0.3555
bytetrack,Alligator Crack,1,1,0.447
bytetrack,Pothole,1,1,0.4183
bytetrack,Pothole,1,1,0.2883
bytetrack,Pothole,1,1,0.284
bytetrack,Longitudinal Crack,1,1,0.2643
bytetrack,Pothole,1,1,0.2518
bytetrack,Longitudinal Crack,1,1,0.3025
bytetrack,Longitudinal Crack,1,1,0.2859
bytetrack,Longitudinal Crack,1,1,0.3845
bytetrack,Pothole,1,1,0.5066
bytetrack,Pothole,1,1,0.4378
bytetrack,Longitudinal Crack,1,1,0.5393
bytetrack,Longitudinal Crack,1,1,0.4022
bytetrack,Longitudinal Crack,1,1,0.6044
bytetrack,Longitudinal Crack,1,1,0.7225
bytetrack,Longitudinal Crack,1,1,0.3538
bytetrack,Longitudinal Crack,2,2,0.7104
bytetrack,Longitudinal Crack,1,1,0.2661
bytetrack,Longitudinal Crack,1,1,0.5562
bytetrack,Longitudinal Crack,1,1,0.2616
bytetrack,Pothole,1,1,0.3629
bytetrack,Longitudinal Crack,1,1,0.2572
bytetrack,Longitudinal Crack,1,1,0.2568
bytetrack,Transverse Crack,1,1,0.3947
bytetrack,Alligator Crack,1,1,0.4525
bytetrack,Longitudinal Crack,1,1,0.6231
bytetrack,Pothole,1,1,0.2904
bytetrack,Transverse Crack,1,1,0.2632
bytetrack,Pothole,1,1,0.2606
bytetrack,Pothole,1,1,0.3957
bytetrack,Pothole,1,1,0.4161
bytetrack,Pothole,1,1,0.3356
bytetrack,Longitudinal Crack,1,1,0.3195
bytetrack,Pothole,1,1,0.3942
bytetrack,Longitudinal Crack,1,1,0.2962
bytetrack,Longitudinal Crack,1,1,0.2652
bytetrack,Longitudinal Crack,1,1,0.5091
bytetrack,Longitudinal Crack,1,1,0.7148
bytetrack,Longitudinal Crack,1,1,0.3421
bytetrack,Pothole,1,1,0.3221
bytetrack,Pothole,8,6,0.7656
bytetrack,Alligator Crack,4,3,0.7359
bytetrack,Alligator Crack,1,1,0.2727
bytetrack,Pothole,1,1,0.2734
bytetrack,Pothole,1,1,0.6293
bytetrack,Pothole,1,1,0.459
bytetrack,Pothole,1,1,0.2856
bytetrack,Pothole,1,1,0.2723
bytetrack,Pothole,1,1,0.7161
